tiempo_ms,estado,ax,ay,az,gx,gy,gz,angulo
1194,PARADO,2.629,-3.419,-8.550,0.022,0.222,-0.001,0.000,9.576,0.223
1394,PARADO,2.619,-3.419,-8.531,0.023,0.228,-0.003,0.051,9.556,0.229
1604,PARADO,2.619,-3.409,-8.550,0.027,0.224,0.001,0.074,9.570,0.225
1814,PARADO,2.622,-3.414,-8.533,0.026,0.227,-0.004,0.017,9.558,0.229
2024,PARADO,2.627,-3.424,-8.543,0.028,0.228,0.001,0.045,9.571,0.230
2234,PARADO,2.629,-3.426,-8.519,0.026,0.225,-0.003,0.122,9.551,0.227
2444,PARADO,2.634,-3.421,-8.533,0.026,0.225,-0.007,0.074,9.563,0.226
2654,PARADO,2.610,-3.405,-8.567,0.028,0.226,-0.002,0.176,9.581,0.228
2864,PARADO,2.617,-3.407,-8.536,0.028,0.225,-0.001,0.054,9.556,0.226
3074,PARADO,2.631,-3.407,-8.557,0.024,0.226,-0.001,0.086,9.579,0.227
3284,PARADO,2.634,-3.417,-8.526,0.025,0.230,-0.006,0.078,9.555,0.231
3494,PARADO,2.629,-3.426,-8.548,0.020,0.220,-0.002,0.047,9.577,0.221
3704,PARADO,2.619,-3.407,-8.533,0.027,0.229,-0.000,0.038,9.554,0.230
3914,PARADO,2.617,-3.421,-8.550,0.033,0.227,-0.002,0.072,9.574,0.230
4124,PARADO,2.624,-3.421,-8.538,0.026,0.230,-0.002,0.043,9.565,0.232
4334,PARADO,2.622,-3.419,-8.540,0.027,0.222,-0.002,0.035,9.566,0.223
4544,PARADO,2.629,-3.412,-8.531,0.026,0.220,-0.004,0.034,9.557,0.222
4754,PARADO,2.641,-3.417,-8.536,0.026,0.223,-0.002,0.094,9.566,0.225
4964,PARADO,2.641,-3.409,-8.519,0.026,0.224,-0.004,0.124,9.548,0.225
5174,PARADO,2.643,-3.419,-8.526,0.022,0.220,0.001,0.132,9.559,0.221
5384,PARADO,2.615,-3.412,-8.562,0.031,0.221,-0.006,0.119,9.580,0.223
5594,PARADO,2.624,-3.419,-8.543,0.026,0.223,-0.004,0.023,9.568,0.225
5804,PARADO,2.629,-3.402,-8.548,0.028,0.227,0.000,0.092,9.568,0.229
6014,PARADO,2.619,-3.426,-8.562,0.028,0.216,-0.005,0.079,9.587,0.218
6224,PARADO,2.617,-3.409,-8.574,0.028,0.227,0.003,0.149,9.591,0.228
6434,PARADO,2.646,-3.412,-8.536,0.027,0.227,-0.005,0.123,9.565,0.229
6644,PARADO,2.617,-3.397,-8.516,0.028,0.227,-0.001,0.047,9.535,0.229
6854,PARADO,2.631,-3.412,-8.538,0.028,0.227,-0.001,0.039,9.564,0.229
7064,PARADO,2.634,-3.407,-8.526,0.029,0.230,-0.007,0.073,9.552,0.232
7274,PARADO,2.641,-3.421,-8.528,0.029,0.224,-0.003,0.119,9.561,0.226
7484,PARADO,2.615,-3.390,-8.567,0.021,0.229,-0.000,0.224,9.577,0.230
7694,PARADO,2.600,-3.390,-8.576,0.026,0.231,-0.007,0.294,9.582,0.233
7904,PARADO,2.593,-3.376,-8.560,0.026,0.226,0.001,0.334,9.560,0.227
8114,PARADO,2.615,-3.383,-8.550,0.028,0.230,-0.002,0.217,9.559,0.232
8324,PARADO,2.607,-3.407,-8.548,0.026,0.227,0.007,0.130,9.564,0.228
8534,PARADO,2.634,-3.405,-8.526,0.025,0.228,-0.004,0.078,9.551,0.230
8744,PARADO,2.639,-3.424,-8.524,0.025,0.225,-0.002,0.128,9.557,0.226
8954,PARADO,2.634,-3.431,-8.540,0.025,0.225,0.000,0.098,9.573,0.227
9164,PARADO,2.636,-3.431,-8.524,0.020,0.227,-0.000,0.150,9.559,0.228
9374,PARADO,2.617,-3.409,-8.536,0.015,0.220,0.002,0.047,9.557,0.221
9584,PARADO,2.629,-3.414,-8.526,0.020,0.224,-0.003,0.048,9.553,0.225
9794,PARADO,2.619,-3.419,-8.533,0.029,0.227,-0.002,0.049,9.559,0.229
10004,PARADO,2.636,-3.429,-8.531,0.023,0.227,-0.002,0.119,9.565,0.228
10214,PARADO,2.615,-3.417,-8.548,0.027,0.230,-0.002,0.078,9.569,0.231
10424,PARADO,2.622,-3.426,-8.540,0.031,0.227,-0.006,0.071,9.568,0.229
10634,PARADO,2.612,-3.397,-8.550,0.031,0.232,-0.005,0.150,9.564,0.234
10844,PARADO,2.615,-3.388,-8.548,0.031,0.224,0.001,0.185,9.559,0.226
11054,PARADO,2.624,-3.395,-8.545,0.030,0.228,0.000,0.128,9.562,0.230
11264,PARADO,2.631,-3.400,-8.548,0.036,0.224,-0.003,0.109,9.568,0.227
11474,PARADO,2.624,-3.412,-8.646,-0.140,0.209,-0.049,0.310,9.658,0.256
